dataset,hardness_metric,seed,weighting_strategy,mean_similarity,mean_real_score,mean_synth_score,std_real_score,std_synth_score,score_difference
BCWDD,feature_TD_P,116740,self_paced,0.792183223843614,0.23406454032850854,0.2321834974685617,0.0012323269940856857,0.001315828459587566,0.0018810428599468354
Hypothyroid,relative_entropy,670488,self_paced,0.8189424977614259,0.33675638839170574,0.3217672258331754,8.640255986253359e-05,0.005865937029628572,0.014989162558530333
NewThyroid2,feature_CLD,116740,self_paced,0.8814650477999499,0.2695586592990631,0.26554617401918046,0.0,0.0017734959209238946,0.004012485279882627
BCWDD,feature_TD_P,26226,curriculum,0.7684839108315444,0.23027166246111871,0.26298644015817,0.003694782700702773,0.0013668186791935518,0.032714777697051306
NewThyroid2,feature_CLD,26226,curriculum,0.8131116006668715,0.2726460846149061,0.2713632414345706,0.0,0.005621331643758235,0.0012828431803355023
NewThyroid2,feature_CLD,26226,static,0.876393640454145,0.2726460846149061,0.26046954793591837,0.0,0.001010075390434043,0.012176536678987715
BCWDD,feature_TD_P,26226,static,0.7669632427626746,0.23027166246111871,0.2599560751737471,0.0036947827007027573,0.0004642582150591897,0.029684412712628366
NewThyroid2,feature_CLD,26226,self_paced,0.7428098087796348,0.2726460846149061,0.2781967448669707,0.0,0.0022113497791880063,0.005550660252064632
BCWDD,feature_TD_P,26226,self_paced,0.8061068628161191,0.23027166246111871,0.23126621780571424,0.0036947827007027573,0.0012917318189463365,0.0009945553445955269
NewThyroid2,feature_MV,670488,curriculum,0.8566091805095155,0.2665847395040548,0.24896888821449004,0.0,0.0009692665019606125,0.017615851289564777
NewThyroid2,feature_MV,670488,static,0.8660368219883193,0.2665847395040548,0.25306429302465644,0.0,0.0003330646114491992,0.013520446479398374
BCWDD,feature_TD_U,670488,curriculum,0.6585642591144775,0.22541749030518263,0.28884574542043906,0.0018249600297177721,0.002573892397442868,0.06342825511525643
NewThyroid2,feature_MV,670488,self_paced,0.7392130517397859,0.2665847395040548,0.28415152749770795,0.0,0.005001121189106186,0.017566787993653132
BCWDD,feature_TD_U,670488,static,0.6562045938911876,0.22541749030518263,0.29224272707189486,0.0018249600297177721,0.002832597180725675,0.06682523676671223
NewThyroid2,feature_MV,116740,curriculum,0.8783946947757674,0.2695586592990631,0.2593855176470724,0.0,9.352983548634773e-05,0.01017314165199068
NewThyroid2,feature_MV,116740,static,0.8841911483220793,0.2695586592990631,0.2629348724589791,3.204937810639273e-17,0.004564771435175965,0.006623786840083967
BCWDD,feature_TD_U,670488,self_paced,0.8398328578820778,0.22541749030518263,0.22186354102038494,0.0018249600297177721,0.0008674920236981591,0.003553949284797686
NewThyroid2,feature_MV,116740,self_paced,0.6793702341059382,0.2695586592990631,0.2872763431244289,0.0,0.0041248960797733,0.017717683825365815
BCWDD,feature_TD_U,116740,curriculum,0.6461993566962029,0.23406454032850854,0.3142509537601843,0.0012323269940856857,0.0014490490331879424,0.08018641343167576
NewThyroid2,feature_MV,26226,curriculum,0.8746074788097563,0.2726460846149061,0.2593639115517928,0.0,0.0010506113664161356,0.0132821730631133
NewThyroid2,feature_MV,26226,static,0.9076552310800406,0.2726460846149061,0.2708713926586968,0.0,0.0022787608837589487,0.0017746919562092733
BCWDD,feature_TD_U,116740,static,0.6269008618869504,0.23406454032850854,0.30157286136439193,0.0012323269940856857,0.0023613998657724894,0.06750832103588339
NewThyroid2,feature_MV,26226,self_paced,0.8890203467094018,0.2726460846149061,0.2813363360209696,0.0,0.005324359998652313,0.008690251406063498
Hypothyroid,relative_entropy,116740,curriculum,0.8134907164637994,0.3954090326277897,0.33032140196768417,4.9205967656114654e-05,0.000254604690303828,0.06508763066010553
NewThyroid2,feature_CB,670488,curriculum,0.8612799501325472,0.2665847395040548,0.25003129309099364,0.0,0.0005021230960034536,0.016553446413061168
BCWDD,feature_TD_U,116740,self_paced,0.8134898636526373,0.23406454032850854,0.22493613636570023,0.0012323269940856857,0.0027259988874874953,0.009128403962808312
NewThyroid2,feature_CB,670488,static,0.8744248788200225,0.2665847395040548,0.2558312022903833,0.0,0.0009316865016721198,0.010753537213671505
BCWDD,feature_TD_U,26226,curriculum,0.6250721913391192,0.23027166246111871,0.31989654484363544,0.0036947827007027573,0.0008974562187219845,0.08962488238251673
NewThyroid2,feature_CB,670488,self_paced,0.859544616282492,0.2665847395040548,0.2513487282655653,0.0,0.0008410934469354953,0.0152360112384895
NewThyroid2,feature_CB,116740,curriculum,0.9027291000248112,0.2695586592990631,0.2671394810876557,0.0,0.00031637295231538273,0.0024191782114074134
BCWDD,feature_TD_U,26226,static,0.5901924760620474,0.23027166246111871,0.311380230869922,0.003694782700702773,0.004822212870347026,0.08110856840880329
