dataset,seed,model,hardness_metric,strategy,v_dist,v_comp,v_hard,v_topo,MFI
Hepatitis,288390,HardTVAE_LSC_self_paced,LSC,self_paced,0.3496401259559154,0.8265573234082798,0.4704301075268817,0.824418492573855,0.5399122325641642
Hepatitis,288390,HardTVAE_LSR_curriculum,LSR,curriculum,0.3607737291947818,0.8325694579857451,0.4882019115890084,0.8650026506058137,0.5573110789723192
Hepatitis,288390,HardTVAE_LSR_static,LSR,static,0.3703328834907782,0.8324911158806049,0.4768518518518518,0.8304877292834942,0.5553483476869355
Hepatitis,288390,HardTVAE_LSR_self_paced,LSR,self_paced,0.3947930724246514,0.8215879727378836,0.479689366786141,0.8558912710175018,0.5711688716906699
Hepatitis,288390,HardTVAE_Harmfulness_curriculum,Harmfulness,curriculum,0.3738191632928475,0.8441914602581715,0.4770011947431302,0.9091848133462516,0.5668956049918412
Hepatitis,288390,HardTVAE_Harmfulness_static,Harmfulness,static,0.3538573999100314,0.8494064324094186,0.4741636798088411,0.9288501026544836,0.556415975216858
Hepatitis,288390,HardTVAE_Harmfulness_self_paced,Harmfulness,self_paced,0.3705578047683311,0.8152747821444769,0.4870071684587813,0.8517149566508331,0.5592313989662431
Hepatitis,288390,HardTVAE_F1_curriculum,F1,curriculum,0.3805668016194332,0.8315924855630056,0.4810334528076463,0.8111058036962371,0.5600739584182183
Hepatitis,288390,HardTVAE_F1_static,F1,static,0.3509334233018443,0.8486917697098538,0.4882019115890083,0.8964570924408112,0.5561996191006064
Hepatitis,288390,HardTVAE_F1_self_paced,F1,self_paced,0.3730881691408007,0.8274426072942876,0.4798387096774193,0.8297185974909582,0.5572477218416355
Hepatitis,288390,HardTVAE_F2_curriculum,F2,curriculum,0.3675775978407557,0.76676117712348,0.4658004778972521,0.833807540667567,0.5426774785623666
Hepatitis,288390,HardTVAE_F2_static,F2,static,0.3710076473234368,0.8219490947927526,0.4684886499402629,0.9474582649993434,0.563224682719685
Hepatitis,288390,HardTVAE_F2_self_paced,F2,self_paced,0.3433985605038236,0.8264225837856806,0.4668458781362006,0.8219882580217173,0.5347093362376193
Hepatitis,288390,HardTVAE_F3_curriculum,F3,curriculum,0.328778677462888,0.8369275927512131,0.4841696535244922,0.891019783895034,0.5387852990760365
Hepatitis,288390,HardTVAE_F3_static,F3,static,0.3404745838956365,0.8443044992875612,0.4822281959378734,0.9136948587782814,0.5487233456421642
Hepatitis,288390,HardTVAE_F3_self_paced,F3,self_paced,0.3668466036887089,0.8160477720220656,0.480137395459976,0.8584697294816441,0.5556362716689814
Hepatitis,288390,HardTVAE_F4_curriculum,F4,curriculum,0.3764619883040936,0.8139468925631911,0.4580346475507765,0.830455294829923,0.5500329380593512
Hepatitis,288390,HardTVAE_F4_static,F4,static,0.3650472334682861,0.8391052000157035,0.4879032258064517,0.8658209715116985,0.5605634760002349
Hepatitis,288390,HardTVAE_F4_self_paced,F4,self_paced,0.3645411605937922,0.8483386216146485,0.4882019115890084,0.8385438513877717,0.558438858078052
Hypothyroid,670488,CTGAN,,,0.875708860320382,0.8331382609723744,0.1654083649443278,0.7375782996416679,0.4105239992270445
Hypothyroid,670488,TVAE,,static,0.6781462700505999,0.8318741128729463,0.26915380743687,0.7375782996416679,0.5162723144153041
Hypothyroid,670488,HardTVAE_kDN_curriculum,kDN,curriculum,0.715376661619464,0.8174394343142762,0.2828232607814974,0.7964468398991801,0.539625301302564
Hypothyroid,670488,HardTVAE_kDN_static,kDN,static,0.6707733063458602,0.8121362781704907,0.2540848770547146,0.8342264219580962,0.5091296416883231
Hypothyroid,670488,HardTVAE_kDN_self_paced,kDN,self_paced,0.7552049374498389,0.8719268135626017,0.3026798757657226,0.7375782996416679,0.5609596251463309
Hypothyroid,670488,HardTVAE_DS_curriculum,DS,curriculum,0.7317289005918822,0.8298620820497207,0.2785573110399096,0.8422780483840011,0.544304495702059
Hypothyroid,670488,HardTVAE_DS_static,DS,static,0.68836553063158,0.8333878449532388,0.2461238168894781,0.7918913297606248,0.50135156535864
Hypothyroid,670488,HardTVAE_DS_self_paced,DS,self_paced,0.693931482455332,0.8419301269914269,0.2003768767109834,0.7375782996416679,0.4456727408496812
Hypothyroid,670488,HardTVAE_DCP_curriculum,DCP,curriculum,0.7308777738973178,0.8217212178138111,0.2718913809401048,0.7592723533745708,0.5276929746415225
Hypothyroid,670488,HardTVAE_DCP_static,DCP,static,0.7287165773312267,0.8325144267616758,0.2941050098822721,0.8174354988196804,0.5557917501173554
Hypothyroid,670488,HardTVAE_DCP_self_paced,DCP,self_paced,0.716032143380791,0.8483571276655918,0.1825642347684111,0.7375782996416679,0.4251408488472474
Hypothyroid,670488,HardTVAE_TD_U_curriculum,TD_U,curriculum,0.7218265754300958,0.8334129275217076,0.2939945248529935,0.8280174151383147,0.5559889435477918
Hypothyroid,670488,HardTVAE_TD_U_static,TD_U,static,0.7223187623637092,0.815515578302939,0.274211566554954,0.762755618669382,0.5285060609977148
Hypothyroid,670488,HardTVAE_TD_U_self_paced,TD_U,self_paced,0.7479329588162131,0.8529548783129854,0.2046366883953891,0.7856294733552374,0.4614149203133196
